time_s,dt_s,lateral_error,forward_error
1768669388.323711,0.0,12.0,0.8899999856948853
1768669388.3324249,0.008713960647583008,12.0,0.8799999952316284
1768669388.338815,0.006390094757080078,12.0,0.8799999952316284
1768669388.3687532,0.029938220977783203,12.0,0.8799999952316284
1768669388.3724518,0.003698587417602539,12.0,0.8799999952316284
1768669388.402312,0.029860258102416992,12.0,0.8399999737739563
1768669388.4032795,0.0009675025939941406,12.0,0.8399999737739563
1768669388.4289408,0.025661230087280273,12.0,0.8399999737739563
1768669388.4324553,0.003514528274536133,12.0,0.8399999737739563
1768669388.4684186,0.03596329689025879,12.0,0.8399999737739563
1768669388.469422,0.0010035037994384766,12.0,0.8399999737739563
1768669388.5002952,0.03087306022644043,12.0,0.8399999737739563
1768669388.505584,0.005288839340209961,12.0,0.8399999737739563
1768669388.5281522,0.022568225860595703,12.0,0.8600000143051147
1768669388.5310454,0.002893209457397461,12.0,0.8600000143051147
1768669388.5627916,0.03174614906311035,12.0,0.8500000238418579
1768669388.5636194,0.000827789306640625,12.0,0.8500000238418579
1768669388.59908,0.035460710525512695,12.0,0.8500000238418579
1768669388.5996766,0.0005965232849121094,12.0,0.8700000047683716
1768669388.6272614,0.02758479118347168,12.0,0.8399999737739563
1768669388.6293917,0.002130270004272461,12.0,0.8399999737739563
1768669388.6642976,0.03490591049194336,12.0,0.8399999737739563
1768669388.6647465,0.0004489421844482422,12.0,0.8399999737739563
1768669388.7099442,0.04519772529602051,12.0,0.8399999737739563
1768669388.7105203,0.000576019287109375,12.0,0.41999998688697815
1768669388.73029,0.019769668579101562,12.0,0.41999998688697815
1768669388.7308207,0.0005307197570800781,12.0,0.41999998688697815
1768669388.7645588,0.033738136291503906,12.0,0.41999998688697815
1768669388.7686856,0.004126787185668945,12.0,0.41999998688697815
1768669388.8013864,0.03270077705383301,12.0,0.4099999964237213
1768669388.8034132,0.002026796340942383,12.0,0.4099999964237213
1768669388.856564,0.05315089225769043,12.0,0.4099999964237213
1768669388.8593483,0.002784252166748047,12.0,0.4099999964237213
1768669388.9095292,0.050180912017822266,12.0,0.41999998688697815
1768669388.9123461,0.002816915512084961,12.0,0.41999998688697815
