time_s,dt_s,lateral_error,forward_error
1768666137.4296455,0.0,-33.0,0.41999998688697815
1768666137.4306822,0.0010366439819335938,-33.0,0.4399999976158142
1768666137.431364,0.0006818771362304688,-33.0,0.4399999976158142
1768666137.474558,0.04319405555725098,-33.0,0.44999998807907104
1768666137.4820943,0.007536172866821289,-33.0,0.44999998807907104
1768666137.5488293,0.06673502922058105,-33.0,0.44999998807907104
1768666137.5581393,0.009310007095336914,-33.0,0.44999998807907104
1768666137.656252,0.09811258316040039,-33.0,2.190000057220459
1768666137.6602426,0.003990650177001953,-33.0,2.190000057220459
1768666137.6888025,0.02855992317199707,-33.0,2.190000057220459
1768666137.6893384,0.0005359649658203125,-33.0,1.9600000381469727
1768666137.7272847,0.037946224212646484,-34.0,1.9600000381469727
1768666137.728006,0.0007212162017822266,-34.0,1.9600000381469727
1768666137.7603319,0.03232598304748535,-34.0,1.9600000381469727
1768666137.7608702,0.0005383491516113281,-34.0,0.44999998807907104
1768666137.7947865,0.03391623497009277,-34.0,0.44999998807907104
1768666137.7963955,0.0016090869903564453,-34.0,0.44999998807907104
1768666137.8210018,0.02460622787475586,-34.0,0.44999998807907104
1768666137.83187,0.010868310928344727,-34.0,0.44999998807907104
1768666137.8708384,0.03896832466125488,-34.0,0.44999998807907104
1768666137.8722754,0.0014369487762451172,-34.0,0.44999998807907104
1768666137.9036243,0.03134894371032715,-34.0,0.46000000834465027
1768666137.91166,0.008035659790039062,-34.0,0.46000000834465027
1768666137.9525673,0.04090738296508789,-34.0,0.46000000834465027
1768666137.9621134,0.009546041488647461,-34.0,0.46000000834465027
1768666138.016194,0.05408072471618652,-34.0,0.44999998807907104
1768666138.017752,0.0015578269958496094,-36.0,0.44999998807907104
1768666138.048686,0.03093409538269043,-36.0,0.44999998807907104
1768666138.0504436,0.0017576217651367188,-36.0,0.44999998807907104
1768666138.068839,0.018395423889160156,-36.0,0.46000000834465027
1768666138.0705342,0.0016951560974121094,-36.0,0.46000000834465027
1768666138.093999,0.023464679718017578,-36.0,0.46000000834465027
1768666138.0954382,0.0014393329620361328,-36.0,0.46000000834465027
1768666138.130426,0.034987688064575195,-36.0,0.4399999976158142
1768666138.1317058,0.0012798309326171875,-35.0,0.4399999976158142
1768666138.160215,0.028509140014648438,-35.0,0.4300000071525574
1768666138.1615982,0.0013833045959472656,-35.0,0.4300000071525574
1768666138.2130222,0.05142402648925781,-35.0,0.4300000071525574
1768666138.2145298,0.0015075206756591797,-35.0,0.4300000071525574
1768666138.265622,0.05109214782714844,-35.0,2.1600000858306885
1768666138.2671711,0.0015492439270019531,-35.0,2.1600000858306885
1768666138.3221002,0.05492901802062988,-35.0,0.4300000071525574
1768666138.33382,0.011719942092895508,-22.0,0.4300000071525574
1768666138.3537524,0.019932270050048828,-22.0,0.4399999976158142
1768666138.3545957,0.0008432865142822266,-22.0,0.4399999976158142
1768666138.4062786,0.05168294906616211,-22.0,0.4399999976158142
1768666138.4077551,0.0014765262603759766,-21.0,0.4399999976158142
1768666138.4448407,0.037085533142089844,-21.0,0.4399999976158142
1768666138.4510152,0.006174564361572266,-21.0,0.4399999976158142
1768666138.4995751,0.04855990409851074,-21.0,0.4399999976158142
1768666138.5027988,0.0032236576080322266,-21.0,0.4399999976158142
1768666138.5941622,0.09136343002319336,-21.0,0.4300000071525574
1768666138.602029,0.007866859436035156,-18.0,0.4300000071525574
1768666138.6524284,0.0503993034362793,-18.0,2.0199999809265137
